Authorid,Author
1,Albert Einstein
2,J.K. Rowling
3,Jane Austen
4,Marilyn Monroe
5,André Gide
6,Thomas A. Edison
7,Eleanor Roosevelt
8,Steve Martin
9,Bob Marley
10,Dr. Seuss
11,Douglas Adams
12,Elie Wiesel
13,Friedrich Nietzsche
14,Mark Twain
15,Allen Saunders
16,Pablo Neruda
17,Ralph Waldo Emerson
18,Mother Teresa
19,Garrison Keillor
20,Jim Henson
21,Charles M. Schulz
22,William Nicholson
23,Jorge Luis Borges
24,George Eliot
25,George R.R. Martin
26,C.S. Lewis
27,Martin Luther King Jr.
28,James Baldwin
29,Haruki Murakami
30,Alexandre Dumas fils
31,Stephenie Meyer
32,Ernest Hemingway
33,Helen Keller
34,George Bernard Shaw
35,Charles Bukowski
36,Suzanne Collins
37,J.R.R. Tolkien
38,Alfred Tennyson
39,Terry Pratchett
40,J.D. Salinger
41,George Carlin
42,John Lennon
43,W.C. Fields
44,Ayn Rand
45,Jimi Hendrix
46,J.M. Barrie
47,E.E. Cummings
48,Khaled Hosseini
49,Harper Lee
50,Madeleine L'Engle
